"employees","salaries_2017","salary_adjustments","salaries_2018","raise"
"Employee 48",40418.496648781,-1676.55509081669,38741.9415579643,FALSE
"Employee 49",48351.8108609132,-3846.55445464887,44505.2564062644,FALSE
"Employee 50",44988.0694365129,5108.3174708765,50096.3869073894,TRUE
"Employee 51",45822.8530362248,2265.38835093379,48088.2413871586,TRUE
"Employee 52",45635.0263161585,9313.45931137912,54948.4856275376,TRUE
"Employee 53",46563.6825445108,2256.66747661307,48820.3500211239,TRUE
"Employee 54",40073.8750095479,-2506.0135149397,37567.8614946082,FALSE
"Employee 55",46765.1087441482,4595.84758616984,51360.956330318,TRUE
"Employee 56",44658.3880623803,9523.13916408457,54181.5272264648,TRUE
"Employee 57",43804.4849643484,-836.936717387289,42967.5482469611,FALSE
"Employee 58",40676.3204280287,7615.46431924216,48291.7847472709,TRUE
"Employee 59",49869.1672412679,4488.29808738083,54357.4653286487,TRUE
"Employee 60",49678.5849682055,-4996.60507775843,44681.9798904471,FALSE
"Employee 61",43205.2258541808,2959.7618652042,46164.987719385,TRUE
"Employee 62",47585.0338069722,9022.12909422815,56607.1629012004,TRUE
"Employee 63",44022.5815610029,9680.71552808397,53703.2970890868,TRUE
"Employee 64",43840.0079729035,9202.74671982042,53042.754692724,TRUE
"Employee 65",48176.8594146706,3411.38032381423,51588.2397384848,TRUE
"Employee 66",47994.0120386891,7813.42253787443,55807.4345765635,TRUE
"Employee 67",46808.1243685447,7387.01705005951,54195.1414186042,TRUE
"Employee 68",41890.7363852486,7082.10664452054,48972.8430297691,TRUE
"Employee 69",48072.6889963262,-381.929294671863,47690.7597016543,FALSE
"Employee 70",45201.2751344591,8819.89301065914,54021.1681451183,TRUE
"Employee 71",47041.9775624759,8400.98115382716,55442.9587163031,TRUE
"Employee 72",48087.7905036323,-1981.85549932532,46105.935004307,FALSE
"Employee 73",48747.4163039587,6969.94420024566,55717.3605042044,TRUE
"Employee 74",46007.2135133669,3202.73885619827,49209.9523695651,TRUE
"Employee 75",48748.9514308982,-3624.19598852284,45124.7554423753,FALSE
"Employee 76",45923.2326387428,-4551.5220973175,41371.7105414253,FALSE
"Employee 77",43684.8651128821,7265.07478975691,50949.939902639,TRUE
"Employee 78",44837.6013920642,8384.94297582656,53222.5443678908,TRUE
"Employee 79",48283.1627642736,-3756.33116695099,44526.8315973226,FALSE
"Employee 80",41108.4974720143,8494.52503374778,49603.0225057621,TRUE
"Employee 81",43489.6978270262,1114.72200718708,44604.4198342133,TRUE
"Employee 82",45769.0405845642,-2249.43636567332,43519.6042188909,FALSE
"Employee 83",47206.3497733325,6123.44705732539,53329.7968306579,TRUE
"Employee 84",49947.3353615031,-972.298023989424,48975.0373375136,FALSE
"Employee 85",48116.5731558576,7499.89271396771,55616.4658698253,TRUE
"Employee 86",41307.293062564,-3737.84578754567,37569.4472750183,FALSE
"Employee 87",47611.697614193,-2382.3232750874,45229.3743391056,FALSE
"Employee 88",44934.1914895922,229.291842551902,45163.4833321441,TRUE
"Employee 89",42600.3288896754,-3996.51833227836,38603.8105573971,FALSE
"Employee 90",41044.8001977056,3519.46370094083,44564.2638986465,TRUE
"Employee 91",48124.4166987017,6411.48667200468,54535.9033707064,TRUE
"Employee 92",47749.1258154623,418.524189153686,48167.650004616,TRUE
"Employee 93",41186.8959106505,3244.20368066058,44431.0995913111,TRUE
"Employee 94",43186.7080065422,-1436.25231808983,41750.4556884523,FALSE
"Employee 95",40279.8199746758,5999.86295681447,46279.6829314902,TRUE
"Employee 96",41479.7774492763,6392.2034506686,47871.9808999449,TRUE
"Employee 97",40990.4261236079,-2888.08025768958,38102.3458659183,FALSE
"Employee 98",40918.5158996843,-4139.07768554054,36779.4382141437,FALSE
"Employee 99",49751.3918322511,4691.7329961434,54443.1248283945,TRUE
"Employee 100",42099.990316201,4319.13176551461,46419.1220817156,TRUE
